  Namespace                   Name                                                      CPU Requests  CPU Limits   Memory Requests  Memory Limits  Age
  kube-system                 ack-helm-manager-646b6b488b-cffcd                           10m (0%)      500m (12%)    64Mi (0%)        128Mi (0%)     356d
  kube-system                 ack-node-local-dns-admission-controller-757b5775f8-dvb7p    100m (2%)     1 (25%)       100Mi (0%)       1Gi (3%)       540d
  kube-system                 ack-node-problem-detector-daemonset-xmggr                   100m (2%)     1 (25%)       200Mi (0%)       1Gi (3%)       540d
  kube-system                 alibaba-log-controller-57c6f4cdc5-zxv9f                     50m (1%)      200m (5%)     100Mi (0%)       400Mi (1%)     197d
  kube-system                 alicloud-monitor-controller-9b5bd9b44-vshtw                 10m (0%)      500m (12%)    30Mi (0%)        500Mi (1%)     77d
  kube-system                 appcenter-5fdc5bc755-grph8                                  100m (2%)     100m (2%)     100Mi (0%)       256Mi (0%)     538d
  kube-system                 csi-plugin-62thl                                            130m (3%)     2 (51%)       176Mi (0%)       4Gi (14%)      291d
  kube-system                 csi-provisioner-57f59df6c7-49xjj                            180m (4%)     4500m (115%)  256Mi (0%)       23Gi (85%)     17d
  kube-system                 kube-flannel-ds-gxlg5                                       100m (2%)     100m (2%)     100Mi (0%)       256Mi (0%)     540d
  kube-system                 kube-proxy-worker-2bm84                                     100m (2%)     0 (0%)        100Mi (0%)       0 (0%)         291d
  kube-system                 logtail-ds-4xg6s                                            100m (2%)     2 (51%)       256Mi (0%)       2Gi (7%)       433d
  kube-system                 logtail-statefulset-0                                       100m (2%)     2 (51%)       256Mi (0%)       2Gi (7%)       197d
  kube-system                 logtail-statefulset-1                                       100m (2%)     2 (51%)       256Mi (0%)       2Gi (7%)       17d
  kube-system                 metrics-server-8496887d69-5hlz5                             100m (2%)     4 (102%)      200Mi (0%)       8Gi (29%)      540d
  kube-system                 nginx-ingress-controller-6649579568-4kknk                   90m (2%)      0 (0%)        100Mi (0%)       0 (0%)         540d
  kube-system                 node-local-dns-s7jb4                                        25m (0%)      0 (0%)        5Mi (0%)         1Gi (3%)       540d
  kube-system                 security-inspector-6f4fc57477-g644l                         100m (2%)     100m (2%)     100Mi (0%)       100Mi (0%)     540d
  kube-system                 storage-auto-expander-54c8547d4d-bm9p7                      10m (0%)      100m (2%)     16Mi (0%)        512Mi (1%)     540d
  ack-onepilot                ack-onepilot-ack-onepilot-58d8c79f4f-wdcrj                 100m (2%)     100m (2%)    100Mi (0%)       512Mi (1%)     77d
  aigc-native                 aigc-metadata-qa-6cb6b7dbfd-9lwgn                          100m (2%)     500m (12%)   512Mi (1%)       1Gi (3%)       42h
  aigc-native                 dt-aigc-portal-deploy-qa-7d4bf9957f-hnrqv                  100m (2%)     500m (12%)   200Mi (0%)       512Mi (1%)     17d
  arms-prom                   arms-prometheus-ack-arms-prometheus-87b8c8cc7-r7x4w        100m (2%)     3 (76%)      1Gi (3%)         4Gi (14%)      77d
  arms-prom                   node-exporter-5jbp6                                        112m (2%)     122m (3%)    200Mi (0%)       220Mi (0%)     540d
  customer-service            openuser-dbb64b7b9-qwbgr                                   100m (2%)     500m (12%)   100Mi (0%)       1Gi (3%)       17d
  diagnosis-qa                aihub-gateway-qa-b74f7cbbf-zhjn7                           100m (2%)     500m (12%)   256Mi (0%)       1Gi (3%)       67d
  diagnosis-qa                aihub-system-qa-5447984b54-lqrfb                           100m (2%)     500m (12%)   256Mi (0%)       1Gi (3%)       17d
  diagnosis-wk                pgvector-8698996c8b-6k2fs                                  250m (6%)     500m (12%)   256Mi (0%)       512Mi (1%)     20h
  dt-dsc-portal               dt-dsc-portal-qa-9c79f6bf7-wm6s9                           50m (1%)      400m (10%)   256Mi (0%)       500Mi (1%)     67d
  dt-minor-collision          dt-ai-insurance-minor-collision-api-qa-7558d78d98-trthr    250m (6%)     1 (25%)      512Mi (1%)       512Mi (1%)     204d
  fluid-system                csi-nodeplugin-fluid-vh8r4                                 0 (0%)        0 (0%)       0 (0%)           0 (0%)         281d
  helm-middleware             imp-mysql-masterslave-infra-ai-xiaoji-qa-secondary-0       200m (5%)     2 (51%)      256Mi (0%)       4Gi (14%)      17d
  helm-middleware             imp-redis-masterslave-dt-diagnosis-qaredis-master-0        110m (2%)     2500m (64%)  384Mi (1%)       4Gi (14%)      77d
  helm-middleware             nacos-0                                                    100m (2%)     2 (51%)      256Mi (0%)       3Gi (11%)      355d
  helm-middleware             nacos-2                                                    100m (2%)     2 (51%)      256Mi (0%)       3Gi (11%)      355d
  helm-middleware             nacos223-mysql-b76f754f9-hmfrl                             100m (2%)     2 (51%)      128Mi (0%)       3Gi (11%)      355d
  ipaas                       redis-db58d9f7b-w7lj9                                      1m (0%)       500m (12%)   5Mi (0%)         512Mi (1%)     61d
  ipaas                       saas-api-chatgpt-price-b8c697f5-rqqkg                      5m (0%)       500m (12%)   128Mi (0%)       512Mi (1%)     61d
  ipaas                       saas-api-qwen-65998cd88d-wxzjp                             5m (0%)       500m (12%)   128Mi (0%)       512Mi (1%)     17d
  kube-ai                     ack-commit-agent-j7xqv                                     200m (5%)     200m (5%)    100Mi (0%)       100Mi (0%)     482d
  kube-ai                     ack-mysql-0                                                0 (0%)        0 (0%)       0 (0%)           0 (0%)         77d
  kube-ai                     arena-exporter-868c6d98b4-nr29s                            500m (12%)    500m (12%)   500Mi (1%)       500Mi (1%)     315d
